Job ID,Nodes,Mode,Processors (p),Support Ratio (c/s),Compute (c),Servers (s),Particles (N),N/c,Bytes/event (d),Nuclides,Inactive time (s),Active time (s),Overhead
550044,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,5,250.12,263.07,105.18%
550045,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,10,250.28,264,105.48%
550046,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,20,250.17,265.08,105.96%
550047,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,40,250.28,268.53,107.29%
550048,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,80,250.04,276.85,110.72%
550055,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,160,250.22,300.54,120.11%
550056,1,smp,1,N/A,N/A,N/A,2000,N/A,N/A,320,250.19,375.92,150.25%
549691,16,smp,16,1,8,8,8000,1000,240,5,128.53,136.79,1.25%
549692,16,smp,16,1,8,8,8000,1000,480,10,128.53,137.97,1.86%
549693,16,smp,16,1,8,8,8000,1000,960,20,128.53,138.88,2.09%
549694,16,smp,16,1,8,8,8000,1000,1920,40,128.62,141.19,4.60%
549695,16,smp,16,1,8,8,8000,1000,3840,80,128.74,146.33,6.37%
549710,16,smp,16,1,8,8,8000,1000,7680,160,128.74,161.13,14.44%
549711,16,smp,16,1,8,8,8000,1000,15360,320,128.59,210.45,43.55%
549712,16,smp,16,3,12,4,8000,666.666666666667,240,5,86.69,91.75,0.66%
549713,16,smp,16,3,12,4,8000,666.666666666667,480,10,86.66,92.42,1.16%
549714,16,smp,16,3,12,4,8000,666.666666666667,960,20,86.65,93.01,1.38%
549724,16,smp,16,3,12,4,8000,666.666666666667,1920,40,86.63,94.44,3.84%
549725,16,smp,16,3,12,4,8000,666.666666666667,3840,80,86.69,98.4,6.22%
549726,16,smp,16,3,12,4,8000,666.666666666667,7680,160,86.63,109.37,15.53%
549727,16,smp,16,3,12,4,8000,666.666666666667,15360,320,86.61,144.6,46.85%
549728,16,smp,16,7,14,2,8000,571.428571428572,240,5,74.33,78.84,0.89%
549734,16,smp,16,7,14,2,8000,571.428571428572,480,10,74.32,79.47,1.45%
549735,16,smp,16,7,14,2,8000,571.428571428572,960,20,74.32,80.03,1.72%
549736,16,smp,16,7,14,2,8000,571.428571428572,1920,40,74.3,81.35,4.31%
549737,16,smp,16,7,14,2,8000,571.428571428572,3840,80,74.39,84.67,6.53%
549738,16,smp,16,7,14,2,8000,571.428571428572,7680,160,74.35,94.26,16.06%
549746,16,smp,16,7,14,2,8000,571.428571428572,15360,320,74.3,125.38,48.64%
549747,16,smp,16,15,15,1,8000,533.333333333333,240,5,69.58,74.23,1.51%
549748,16,smp,16,15,15,1,8000,533.333333333333,480,10,69.55,74.78,2.04%
549749,16,smp,16,15,15,1,8000,533.333333333333,960,20,69.56,75.34,2.35%
549750,16,smp,16,15,15,1,8000,533.333333333333,1920,40,69.56,76.64,5.00%
549766,16,smp,16,15,15,1,8000,533.333333333333,3840,80,69.62,79.75,7.26%
549767,16,smp,16,15,15,1,8000,533.333333333333,7680,160,69.6,89.26,17.52%
549768,16,smp,16,15,15,1,8000,533.333333333333,15360,320,69.54,121.48,54.58%
549769,32,smp,32,1,16,16,16000,1000,240,5,129.35,137.35,1.01%
549770,32,smp,32,1,16,16,16000,1000,480,10,129.21,138.28,1.54%
549775,32,smp,32,1,16,16,16000,1000,960,20,129.53,139.43,1.68%
549776,32,smp,32,1,16,16,16000,1000,1920,40,129.37,141.39,4.11%
549777,32,smp,32,1,16,16,16000,1000,3840,80,129.22,146.23,5.87%
549778,32,smp,32,1,16,16,16000,1000,7680,160,129.26,160.78,13.66%
549779,32,smp,32,1,16,16,16000,1000,15360,320,129.34,207.71,40.48%
549782,32,smp,32,3,24,8,16000,666.666666666667,240,5,87.46,92.52,0.61%
549783,32,smp,32,3,24,8,16000,666.666666666667,480,10,87.51,93.31,1.15%
549784,32,smp,32,3,24,8,16000,666.666666666667,960,20,87.44,93.81,1.33%
549785,32,smp,32,3,24,8,16000,666.666666666667,1920,40,87.47,95.28,3.75%
549786,32,smp,32,3,24,8,16000,666.666666666667,3840,80,87.51,98.71,5.51%
549787,32,smp,32,3,24,8,16000,666.666666666667,7680,160,87.49,109.16,14.05%
549788,32,smp,32,3,24,8,16000,666.666666666667,15360,320,87.38,143.41,44.01%
549789,32,smp,32,7,28,4,16000,571.428571428572,240,5,75.14,79.75,0.96%
549790,32,smp,32,7,28,4,16000,571.428571428572,480,10,75.14,80.34,1.44%
549791,32,smp,32,7,28,4,16000,571.428571428572,960,20,75.16,80.82,1.57%
549793,32,smp,32,7,28,4,16000,571.428571428572,1920,40,75.16,82.06,4.00%
549794,32,smp,32,7,28,4,16000,571.428571428572,3840,80,75.12,85.13,6.03%
549795,32,smp,32,7,28,4,16000,571.428571428572,7680,160,75.11,95.12,15.92%
549796,32,smp,32,7,28,4,16000,571.428571428572,15360,320,75.12,127.58,49.72%
549797,32,smp,32,15,30,2,16000,533.333333333333,240,5,70.09,74.23,0.73%
549799,32,smp,32,15,30,2,16000,533.333333333333,480,10,70.07,74.8,1.27%
549800,32,smp,32,15,30,2,16000,533.333333333333,960,20,70.09,75.33,1.52%
549801,32,smp,32,15,30,2,16000,533.333333333333,1920,40,70.17,76.71,4.14%
549802,32,smp,32,15,30,2,16000,533.333333333333,3840,80,70.1,79.8,6.55%
549803,32,smp,32,15,30,2,16000,533.333333333333,7680,160,70.05,90.13,17.94%
