Job ID,Nodes,Processors (p),Support Ratio (c/s),Compute (c),Servers (s),Particles (N),N/c,Bytes/event (d),Nuclides,Inactive time (s),Active time (s),Overhead
1235622,2,16,N/A,N/A,N/A,32000,N/A,N/A,5,122.07,130.74,107.10%
1235623,2,16,N/A,N/A,N/A,32000,N/A,N/A,10,122.05,128.5,105.28%
1235624,2,16,N/A,N/A,N/A,32000,N/A,N/A,20,122.52,129.33,105.56%
1235625,2,16,N/A,N/A,N/A,32000,N/A,N/A,40,121.61,129.03,106.10%
1235626,2,16,N/A,N/A,N/A,32000,N/A,N/A,80,122.04,129.68,106.26%
1235627,2,16,N/A,N/A,N/A,32000,N/A,N/A,160,121.61,135.17,111.15%
1235628,2,16,N/A,N/A,N/A,32000,N/A,N/A,320,121.96,158.47,129.94%
1233902,2,16,1,8,8,16000,2000,240,5,79.634,82.835,-3.08%
1232011,2,16,1,8,8,16000,2000,480,10,79.609,82.951,-1.09%
1232012,2,16,1,8,8,16000,2000,960,20,79.644,83.396,-0.85%
1232013,2,16,1,8,8,16000,2000,1920,40,79.767,84.31,-0.41%
1232014,2,16,1,8,8,16000,2000,3840,80,79.63,86.372,2.21%
1232015,2,16,1,8,8,16000,2000,7680,160,79.598,94.685,7.80%
1232016,2,16,1,8,8,16000,2000,15360,320,79.589,123.6,25.36%
1233903,2,16,3,12,4,16000,1333.33333333333,240,5,75.627,78.777,-2.94%
1232018,2,16,3,12,4,16000,1333.33333333333,480,10,75.617,78.873,-0.98%
1232019,2,16,3,12,4,16000,1333.33333333333,960,20,75.682,79.099,-1.04%
1232020,2,16,3,12,4,16000,1333.33333333333,1920,40,75.643,79.619,-0.85%
1232021,2,16,3,12,4,16000,1333.33333333333,3840,80,75.627,80.834,0.62%
1232022,2,16,3,12,4,16000,1333.33333333333,7680,160,75.54,84.558,0.79%
1232023,2,16,3,12,4,16000,1333.33333333333,15360,320,75.501,100.43,3.08%
1233904,2,16,7,14,2,16000,1142.85714285714,240,5,67.023,69.628,-3.22%
1232025,2,16,7,14,2,16000,1142.85714285714,480,10,66.99,69.79,-1.10%
1232026,2,16,7,14,2,16000,1142.85714285714,960,20,66.973,69.993,-1.05%
1232027,2,16,7,14,2,16000,1142.85714285714,1920,40,67.01,70.481,-0.92%
1232028,2,16,7,14,2,16000,1142.85714285714,3840,80,66.987,71.346,0.25%
1232029,2,16,7,14,2,16000,1142.85714285714,7680,160,66.916,74.358,-0.03%
1232030,2,16,7,14,2,16000,1142.85714285714,15360,320,66.979,87.908,1.31%
1233905,2,16,15,15,1,16000,1066.66666666667,240,5,65.641,68.311,-3.03%
1232032,2,16,15,15,1,16000,1066.66666666667,480,10,65.661,68.396,-1.12%
1232033,2,16,15,15,1,16000,1066.66666666667,960,20,65.356,68.315,-1.03%
1232034,2,16,15,15,1,16000,1066.66666666667,1920,40,65.615,68.995,-0.95%
1232035,2,16,15,15,1,16000,1066.66666666667,3840,80,65.605,69.875,0.25%
1232036,2,16,15,15,1,16000,1066.66666666667,7680,160,65.233,71.826,-1.04%
1232037,2,16,15,15,1,16000,1066.66666666667,15360,320,65.408,84.589,-0.61%
1233906,4,32,1,16,16,32000,2000,240,5,80.055,83.548,-2.74%
